word,level,meaning,sentence
abandon,4,遺棄；中止,He decided to abandon the old plan.
absolute,4,完全的；絕對的,She has absolute trust in him.
absorb,4,吸收；理解,Plants absorb water through their roots.
abstract,4,抽象的,The idea is too abstract for children.
academic,4,學院的；學術的,She has a strong academic background.
acceptance,4,接受,His acceptance of the offer surprised us.
accidental,4,偶然的；意外的,The fire was accidental not deliberate.
accompany,4,陪同,I will accompany you to the station.
accomplish(ment),4,完成,She worked hard to accomplish her goal.
accountant,4,會計師,The accountant checked all the numbers.
accuracy,4,正確(性),The accuracy of the report is important.
accuse,4,把…歸咎(於)；指控,They accuse him of stealing the money.
acquaintance,4,熟人,He is an old acquaintance of mine.
acquire,4,取得,She hopes to acquire new skills.
adapt,4,使適應,Animals adapt to their environment.
addict,4,對～有癮的人,He is a video game addict.
adjust(ment),4,調整,You need to adjust the seat height.
admirable,4,令人欽佩的,Her courage is truly admirable.
admiration,4,欽佩,He looked at the painting with admiration.
admission,4,加入許可；承認,Admission to the museum is free.
adopt,4,採取；收養,They decided to adopt a child.
agency,4,代理機構；仲介,She works for a travel agency.
agent,4,代理人；仲介人,The agent helped us buy the house.
aggressive,4,好鬥的；積極的,The dog became aggressive toward strangers.
alcohol,4,酒精,He does not drink alcohol.
alert,4,警覺的；警戒,The guard stayed alert all night.
alternative,4,替代的；二擇一的,We need an alternative plan.
amateur,4,業餘從事者；業餘的,He is an amateur photographer.
ambiguous,4,含糊的,His answer was ambiguous and unclear.
ambitious,4,野心勃勃的,She is an ambitious young lawyer.
amuse(ment),4,給～提供娛樂,The clown amused the children.
analysis,4,分析,The analysis showed a clear trend.
ancestor,4,祖先,My ancestors came from China.
anniversary,4,週年紀念,They celebrated their tenth anniversary.
annual,4,一年一度的,The company holds an annual meeting.
anxiety,4,焦慮,She felt anxiety before the exam.
apology,4,道歉,He offered a sincere apology.
apparent,4,明顯的,It was apparent that she was tired.
applicant,4,申請人,The applicant filled out the form.
application,4,應用；申請書,I sent my application by email.
appoint(ment),4,任命；指派,They appointed her as manager.
appreciation,4,欣賞；感謝,I showed my appreciation with a gift.
appropriate,4,適當的,Please wear appropriate clothes.
approval,4,同意；認可,The plan got final approval.
aquarium,4,水族館,We saw many fish at the aquarium.
arch,4,拱門；拱形,The bridge has a stone arch.
arise,4,升起；復活,Problems may arise during the trip.
artificial,4,人造的,The flowers are artificial.
artistic,4,藝術的,She has great artistic talent.
ashamed,4,感到羞恥的,He felt ashamed of his mistake.
aspect,4,方面；觀點,We discussed every aspect of the plan.
aspirin,4,阿斯匹靈,She took an aspirin for her headache.
assemble,4,集合,The students assembled in the hall.
assembly,4,與會者；議會,The assembly lasted one hour.
assign(ment),4,指派,The teacher assigned us homework.
assistance,4,協助,She needs assistance with her bags.
associate,4,關聯,I associate that song with summer.
association,4,協會；聯想；合作,He joined a sports association.
assurance,4,保證,She gave me assurance of her support.
assure,4,保證,I assure you that it is safe.
athletic,4,運動的,He is very athletic.
atmosphere,4,氣壓；氣氛,The restaurant has a warm atmosphere.
attach(ment),4,裝上；附加,Please attach the file to the email.
attraction,4,吸引力,The main attraction is the castle.
audio,4,可聽頻率的,The audio quality is very clear.
authority,4,權力；當局,The local authority approved the plan.
await,4,等候；期待,We await your reply.
bald,4,禿的,He is going bald.
ballet,4,芭蕾舞,She studies ballet every week.
bandage,4,繃帶,The nurse put a bandage on his arm.
bankrupt,4,破產的,The company went bankrupt last year.
bargain,4,買賣；便宜貨,This coat was a real bargain.
barrier,4,障礙物；棚欄,Language can be a barrier.
basin,4,臉盆；洗滌槽,He washed his hands in the basin.
battery,4,電池,The battery in my phone is dead.
beggar,4,乞丐,The beggar asked for food.
behavior,4,行為,His behavior improved after the talk.
biography,4,傳記,I read a biography of Einstein.
biology,4,生物學,She teaches biology at school.
blend,4,使混合,Blend the eggs and sugar together.
blessing,4,賜福；同意,Good health is a blessing.
blink,4,眨眼；漠視,She did not blink during the movie.
bloom,4,花；開花,The roses bloom in spring.
blossom,4,花(叢),The cherry trees are in blossom.
boast,4,自吹自擂；誇耀,He likes to boast about his success.
bond,4,聯結；契約；債券,There is a strong bond between them.
bounce,4,跳，躍；使反彈,The ball bounced off the wall.
breed,4,繁衍；滋生,They breed dogs on the farm.
bridegroom/groom,4,新郎,The bridegroom looked very happy.
brutal,4,殘忍的,The brutal attack shocked the town.
bulletin,4,公報；新聞快報,The news bulletin reported the storm.
burglar,4,竊賊,A burglar broke into the house.
cabinet,4,櫥櫃；密室,The cups are in the cabinet.
calculate,4,計算,Please calculate the total cost.
calculation,4,計算,My calculation was correct.
calorie,4,卡路里,This drink has few calories.
campaign,4,競選活動；戰役,The campaign raised a lot of money.
candidate,4,候選人,She is a candidate for mayor.
cane,4,藤條；甘蔗,The old man walked with a cane.
capacity,4,容量；能力,The hall has a capacity of 500 people.
capital(ism),4,主要的；首都；資本,Paris is the capital of France.
capitalist,4,資本家,He is a successful capitalist.
cargo,4,貨物,The ship carried heavy cargo.
carrier,4,運送人；航空母艦,The aircraft carrier sailed into port.
carve,4,雕刻；開拓,He carved a bird from wood.
catalogue,4,目錄,I looked for the book in the catalogue.
cease,4,停止,The rain finally ceased.
celebration,4,慶祝,The celebration lasted all night.
chamber,4,房間；室,The heart has four chambers.
championship,4,冠軍稱號；錦標賽,Our team won the championship.
characteristic,4,特有的；特性,Patience is his best characteristic.
charity,4,慈善團體,She gives money to charity.
chemistry,4,化學；化學作用,He is good at chemistry.
cherish,4,珍惜,I cherish the time we spent together.
chew,4,咀嚼；深思,Chew your food slowly.
choke,4,窒息；阻塞,He began to choke on a piece of bread.
chorus,4,合唱隊,The chorus sang beautifully.
circulate,4,循環；流通,Blood circulates through the body.
circulation,4,循環；流通；貨幣,Exercise improves blood circulation.
circumstance,4,情況；詳情,Under no circumstance should you open the door.
civilian,4,平民；文職人員,Many civilians were hurt in the war.
civilization,4,文明,Ancient civilization developed near rivers.
clarify,4,澄清,Could you clarify your question?
clash,4,衝突；發出鏗鏘聲,The two teams clashed in the final.
classification,4,分類,The classification of plants is complex.
claw,4,爪子；鉗；贅,The cat has sharp claws.
cliff,4,懸崖,They walked along the cliff.
clumsy,4,笨拙的,He is clumsy with tools.
coarse,4,粗糙的,The cloth feels coarse.
code,4,密碼；法典,The spy used a secret code.
collapse,4,崩塌,The old bridge collapsed.
colleague,4,同事,I had lunch with a colleague.
combination,4,聯合(體),The dish is a combination of sweet and sour.
comedy,4,喜劇,We watched a funny comedy.
commander,4,指揮者,The commander gave the order.
comment,4,評論,He made a helpful comment.
commerce,4,商業；交易,The city is a center of commerce.
commit,4,犯(罪)；把…託交給…,He committed a serious crime.
communication,4,溝通；訊息,Good communication is important.
community,4,社區；共同體,She helps her local community.
companion,4,夥伴；伴侶,The dog was his faithful companion.
competition,4,競賽；競爭,The competition was very strong.
competitive,4,競爭的,She is a competitive player.
competitor,4,競爭者,Each competitor ran fast.
complicate,4,使複雜化,Do not complicate the problem.
compose,4,作曲；組成,He composed a new song.
composer,4,作曲家；調停者,Mozart was a famous composer.
composition,4,作文；合成物,My composition got a high grade.
concentrate,4,專心,Please concentrate on your work.
concentration,4,專心；集中,Reading requires concentration.
concrete,4,具體的；混凝土,We need concrete evidence.
conductor,4,領導者；指揮,The conductor raised his baton.
conference,4,會議,She attended a medical conference.
confess,4,坦承,He confessed that he was wrong.
confidence,4,信心；自信,She spoke with confidence.
confusion,4,混亂；困惑,There was confusion after the announcement.
congratulate,4,恭喜,I congratulate you on your success.
congress,4,正式大會；立法機關,Congress passed the bill.
conquer,4,戰勝,The army conquered the city.
consequence,4,結果；重要性,He must accept the consequence of his actions.
consequent,4,因…的結果而起的,The storm and consequent flood damaged crops.
conservative,4,保守的,He has conservative views.
consist,4,組成；存在於…,The team consists of six members.
consistent,4,一致的,Her work is consistent and reliable.
constitute,4,構成；制定,Twelve months constitute a year.
constitution,4,憲法；法規,The constitution protects free speech.
construct,4,建造,They plan to construct a new bridge.
construction,4,建造物；建設,The construction will take two years.
constructive,4,建設性的,She gave constructive criticism.
consult,4,與…商量,You should consult a doctor.
consultant,4,顧問；諮詢者,The company hired a business consultant.
consume,4,消耗；花費,The car consumes a lot of fuel.
consumer,4,消費者,The consumer has many choices.
container,4,容器,Put the rice in a plastic container.
content,4,滿足的,He felt content with his life.
content(ment),4,滿足的,She smiled with contentment.
context,4,上下文,The word has a different meaning in this context.
continual,4,不間斷的,The continual noise annoyed me.
continuous,4,連續的,The continuous rain caused flooding.
contrary,4,相反的,The result was contrary to our expectations.
contrast,4,對比,There is a sharp contrast between them.
contribute,4,捐獻；貢獻,Everyone can contribute to the project.
contribution,4,貢獻；捐獻,Her contribution was very valuable.
convenience,4,便利設施；方便,Please reply at your earliest convenience.
convention,4,慣例；會議,The convention was held in Tokyo.
conventional,4,慣例的；協定上的,He prefers conventional methods.
converse,4,談話,We conversed for hours.
convey,4,運輸；傳遞,Words cannot convey my feelings.
convince,4,說服,She convinced me to join.
cooperate,4,合作,The two groups agreed to cooperate.
cooperation,4,合作,Thank you for your cooperation.
cooperative,4,合作的,The children were very cooperative.
cope,4,競爭；妥善處理,She learned to cope with stress.
cord,4,細繩；粗線,Tie the box with a strong cord.
correspond,4,符合；通信,His story corresponds with the facts.
costume,4,服裝；戲服,She wore a beautiful costume.
cottage,4,農舍；小屋,They live in a small cottage.
council,4,會議,The city council met yesterday.
counter,4,櫃檯；籌碼,Please pay at the counter.
courageous,4,勇敢的,It was a courageous decision.
courtesy,4,有禮的舉止,He showed great courtesy to every guest.
coward,4,懦弱的；懦夫,The coward ran away from the fight.
crack,4,爆烈聲；裂開,The ice began to crack under his feet.
craft,4,工藝；太空船,She is skilled in the craft of pottery.
creation,4,創作；萬物,The creation of the new park took years.
creativity,4,創造力,Art classes help develop creativity.
creep,4,躡手躡腳地走,He tried to creep into the room quietly.
critic,4,評論家,The critic praised the new film.
critical,4,關鍵性的；批判的,This is a critical moment for the company.
criticism,4,評論,Her criticism was fair and helpful.
criticize,4,批評,Do not criticize others too quickly.
crush,4,弄碎；壓碎,The machine can crush rocks into powder.
cube,4,立方體,He put an ice cube in his drink.
cue,4,反芻的食物,The actor waited for his cue.
cunning,4,狡猾的；奸詐的,The cunning fox escaped the trap.
curiosity,4,好奇心,Curiosity led the child to open the box.
curve,4,曲線；使彎曲,The road curves to the left.
cushion,4,墊子,She put a soft cushion on the chair.
damp,4,潮溼的,The towel still feels damp.
deadline,4,截止期限,The deadline for the report is Friday.
declare,4,宣告；聲明,The government declared a state of emergency.
decoration,4,裝飾；裝溝,The Christmas decoration looked beautiful.
defeat,4,失敗；擊敗,Our team suffered a heavy defeat.
defend,4,防守；防衛,They fought to defend their country.
defense,4,防衛,The castle was built for defense.
defensive,4,防護的；保衛的,He became defensive when criticized.
definite,4,明確的；肯定的,We need a definite answer by tomorrow.
delicate,4,纖弱的；雅緻的,The delicate glass broke easily.
delight,4,喻快,The children screamed with delight.
delightful,4,令人愉快的,We had a delightful evening together.
demand,4,請求；要求,The workers demand better pay.
demonstrate,4,證明；展示；遊行,The teacher demonstrated the experiment.
demonstration,4,驗證；示威運動,The students held a peaceful demonstration.
dense,4,密集的；稠密的,The forest was dark and dense.
depart,4,分離；啟程,The train will depart at six.
departure,4,分離；啟程,His sudden departure surprised us.
dependent,4,依賴性強的,Young children are dependent on adults.
depression,4,沮喪,He suffered from depression after losing his job.
deserve,4,應得,You deserve a reward for your hard work.
desperate,4,絕望的,She was desperate for help.
despite,4,儘管,Despite the rain we went out.
destruction,4,破壞,The war caused widespread destruction.
determination,4,決心,Her determination helped her succeed.
device,4,裝置,This device measures temperature.
devise,4,策劃,They devised a clever plan.
devote,4,將…奉獻給,She decided to devote herself to medicine.
diagram,4,圖表(解),The diagram shows how the machine works.
differ,4,不同於…,Their opinions differ on this issue.
digest,4,消化,It takes time to digest a heavy meal.
digital,4,數字式的,We live in a digital age.
dignity,4,尊嚴,He kept his dignity during the trial.
diligence,4,勤勉,Diligence is the key to success.
diligent,4,勤奮的,She is a diligent student.
diploma,4,學位證書,He received his diploma last June.
diplomat,4,外交官,The diplomat spoke three languages.
disability,4,無能,The building is accessible to people with a disability.
disadvantage,4,不利之條件,The main disadvantage is the high cost.
disappoint(ment),4,使失望,The result will disappoint many fans.
disaster,4,災難,The flood was a terrible disaster.
discipline,4,紀律,Good discipline is important in class.
discourage(ment),4,使洩氣；使沮喪,Do not let failure discourage you.
disguise,4,偽裝,He wore a disguise to avoid attention.
disgust,4,嫌惡；使厭惡,The dirty kitchen filled her with disgust.
dismiss,4,解散,The teacher dismissed the class early.
disorder,4,使混亂；騷亂,The room was in complete disorder.
dispute,4,爭論,They had a dispute over the property.
distinct,4,有區別的,There is a distinct difference between the two.
distinguish,4,識別,Can you distinguish between the twins?
distinguished,4,卓越的,He is a distinguished scientist.
distribute,4,分配,They distributed food to the victims.
distribution,4,分配；配給物,The distribution of wealth is unequal.
district,4,區域,She lives in a quiet district.
disturb,4,妨礙；打擾,Please do not disturb him while he works.
diverse,4,各種各樣的,The city has a diverse population.
diversity,4,多樣性,The school celebrates cultural diversity.
divine,4,神的；神聖的,They believed the king had divine power.
divorce,4,離婚,They decided to get a divorce.
dodge,4,避開,He dodged the ball quickly.
dominant,4,支配的,The company is dominant in the market.
dominate,4,支配,He tends to dominate the conversation.
draft,4,草稿,She wrote the first draft of the essay.
dread,4,害怕,I dread going to the dentist.
drift,4,漂流；漂浮物,The boat began to drift away.
drill,4,鑽頭；鑽床,The dentist used a drill on my tooth.
drowsy,4,昏昏欲睡的,The medicine made him feel drowsy.
durable,4,持久的,These shoes are durable and comfortable.
dye,4,染料；染色,She used natural dye on the cloth.
dynamic,4,動力的；動態的,She has a dynamic personality.
dynasty,4,朝代,The Ming dynasty ruled for centuries.
earnest,4,認真的,He made an earnest effort to improve.
economic,4,經濟上的,The country faces serious economic problems.
economical,4,經濟的；節儉的,This car is very economical on fuel.
economics,4,經濟學,She studied economics at university.
economist,4,經濟學者,The economist predicted slow growth.
economy,4,節約；經濟,The economy is growing slowly.
efficiency,4,效率,The new system improved efficiency.
elastic,4,有彈性的,The waistband is elastic and comfortable.
electronics,4,電子學,He works in the electronics industry.
elegant,4,優雅的,She wore an elegant black dress.
elementary,4,基本的；初級的,He teaches at an elementary school.
eliminate,4,消滅；排除,We must eliminate waste in the process.
elsewhere,4,在別處,If you cannot find it here look elsewhere.
embarrass(ment),4,使出糢,His mistake caused him great embarrassment.
embassy,4,大使館,She went to the embassy for a visa.
emerge,4,浮現；顯露,The sun emerged from behind the clouds.
emphasis,4,強調,The school puts emphasis on reading.
empire,4,帝國；王權,The Roman empire was very powerful.
enclose,4,圍住；把(公文等)封入,Please enclose a photo with your application.
encounter,4,遭遇；衝突,We encountered many problems on the trip.
endanger,4,使瀕臨危機,Pollution can endanger wildlife.
endure,4,忍受,She had to endure great pain.
enforce(ment),4,實施,The police enforce traffic laws.
engineering,4,工程,He studies electrical engineering.
enlarge(ment),4,擴大,They plan to enlarge the kitchen.
enormous,4,巨大的,The elephant has an enormous body.
ensure,4,確保,Please ensure that the door is locked.
entertain(ment),4,娛樂,The show provided great entertainment.
enthusiasm,4,熱心,She showed great enthusiasm for the project.
equality,4,相等；平等；均等,We believe in equality for all people.
equip(ment),4,裝備以,The lab is equipped with modern equipment.
era,4,年代,We live in the era of technology.
essential,4,必要的；精華的,Water is essential for life.
establish(ment),4,建立,They established a new company.
estimate,4,估計；預計,We estimate the cost at one thousand dollars.
ethnic,4,種族的,The city has many ethnic groups.
evaluate,4,評估,Teachers evaluate students' progress.
evaluation,4,估算,The evaluation will take two weeks.
eventual,4,結果的,His eventual success surprised no one.
evidence,4,證據；物證,The police found new evidence.
evident,4,明顯的,It was evident that she was unhappy.
exaggerate,4,誇大,He tends to exaggerate his achievements.
exception,4,例外,Everyone was late with the exception of Tom.
exhaust,4,排出；排氣,The car exhaust is harmful to the air.
exhibit,4,展示,The museum will exhibit ancient coins.
expand,4,展開；擴大,The company plans to expand overseas.
expansion,4,擴展；膨脹,The expansion of the airport is complete.
experimental,4,實驗性質的,The treatment is still experimental.
explanation,4,解釋,He gave a clear explanation of the rule.
