word,level,meaning,sentence
absence,2,缺席；缺少,His absence from class was noticed.
absent,2,缺席的,She was absent from school yesterday.
accept,2,接受,I accept your apology.
accident,2,事故,The accident happened near the school.
account,2,帳戶；描述,I opened a bank account today.
active,2,活躍的；積極的,He is active in class.
activity,2,活動；活動力,The school holds many activities.
actual,2,實際的,The actual cost was higher.
addition,2,增加；附加,"In addition, we need more time."
address,2,地址；致詞,Please write your address here.
admit,2,承認,He admitted his mistake.
adult,2,成年人,Every adult must pay.
advance,2,推進；將…提前,Please advance the meeting by one day.
advice,2,勸告；消息,She gave me good advice.
affair,2,事情；事件,The party was a happy affair.
affect,2,影響；使感動,Weather can affect our mood.
against,2,反對；對著,He leaned against the wall.
ahead,2,在·前面；領先,The road ahead is clear.
aid,2,幫助,They gave aid to the victims.
aim,2,目標；瞄準,My aim is to pass the test.
aircraft,2,航空器；飛機,The aircraft landed safely.
alarm,2,警報；驚恐,The fire alarm rang loudly.
album,2,一套唱片；相簿,She put the photos in an album.
alike,2,相同的,The two sisters look alike.
alive,2,活著的；有活力的,The old tree is still alive.
alone,2,單獨的,He lives alone.
aloud,2,大聲地,Please read the text aloud.
altogether,2,完全；總而言之,"Altogether, it was a good day."
among,2,在…之中,She sat among her friends.
amount,2,共計；總數,A large amount of rain fell.
ancient,2,古代的,We visited an ancient temple.
anger,2,生氣,His anger slowly disappeared.
angle,2,角度；立場,Try looking at it from another angle.
ankle,2,足踝,She hurt her ankle while running.
anyway,2,無論如何,"It was late, but we went anyway."
ape,2,大猩猩,The ape climbed the tree.
appearance,2,外貌；顯露,He cares about his appearance.
appetite,2,胃口；食慾,Exercise gives me a good appetite.
apply,2,應用；申請,I will apply for the job.
appreciate,2,欣賞；感激,I appreciate your help.
approach,2,接近；著手處理,Winter is approaching fast.
argue(argument),2,爭論；主張,They often argue about money.
army,2,軍隊；團體,He joined the army last year.
arrange(ment),2,安排,We arranged a meeting for Friday.
arrival,2,到達；到達者,Her arrival surprised everyone.
arrow,2,箭,The arrow hit the target.
article,2,文章；冠詞,I read an interesting article.
artist,2,藝術家；藝人,The artist painted a beautiful picture.
asleep,2,睡著的,The baby is asleep.
attempt,2,嘗試,He made an attempt to climb the wall.
attend,2,參加,I will attend the meeting.
attention,2,注意力,Please pay attention to the teacher.
author,2,作者,The author wrote many books.
average,2,平均的,His grades are above average.
avoid,2,避免；躲開,Try to avoid heavy traffic.
backward,2,反方向地,He took a step backward.
backward/backwards,2,反方向地,She looked backwards for a moment.
badminton,2,羽毛球,They play badminton after school.
bake,2,烘；烤,My mother likes to bake bread.
bakery,2,麵包店,We bought fresh bread at the bakery.
balance,2,平衡,She lost her balance and fell.
balcony,2,陽臺；樓座,We had breakfast on the balcony.
balloon,2,氣球,The child held a red balloon.
bar,2,棒；沙洲；酒吧,They met at a small bar.
barbecue,2,烤肉,We had a barbecue in the park.
barber,2,理髮師,The barber cut my hair short.
bark,2,吠叫；咆哮,The dog began to bark loudly.
base,2,基礎,Trust is the base of friendship.
basic,2,基本的,Water is a basic need.
bathe,2,洗澡；沐浴,She likes to bathe before bed.
battle,2,戰役,The battle lasted all day.
beard,2,下巴上的)鬍鬚,He has a long gray beard.
beat,2,敲擊；打敗,Our team beat theirs by two points.
beauty,2,美人,The beauty of the lake amazed us.
beer,2,啤酒,He ordered a cold beer.
beg,2,乞求；乞討,The dog begged for food.
beginner,2,初學者,This class is for beginners.
behave,2,表現；行為舉止,The children behaved very well.
being,2,存在；生物,Every human being has value.
belief,2,信念；信條,She has a strong belief in justice.
bend,2,彎曲,Bend your knees slowly.
better,2,更好的,This plan is better than the old one.
beyond,2,在遠處,The mountains are beyond the river.
bill,2,帳單；鈔票,Please pay the bill.
billion,2,十億；大量,The company is worth a billion dollars.
birth,2,出生；分娩,She gave birth to a healthy boy.
biscuit,2,小麵包；餅乾,He ate a biscuit with tea.
blackboard,2,黑板,The teacher wrote on the blackboard.
blame,2,責備；歸咎於…,Do not blame others for your mistake.
blank,2,空白的,Please fill in the blank.
blanket,2,毛毯,She covered the child with a blanket.
blood,2,血液,The doctor took a blood test.
board,2,木板；牌子,He wrote the answer on the board.
boil,2,沸騰,Boil the water before drinking it.
bone,2,骨頭；骨質,The dog buried a bone.
bookstore,2,書店,I bought a novel at the bookstore.
border,2,邊界；比鄰,The river forms the border.
bother,2,打擾；煩惱,Do not bother your sister.
brain,2,腦袋；智力,The brain needs oxygen.
branch,2,樹枝；分支,A bird sat on the branch.
brand,2,商標；烙印,This brand is popular with teens.
brief,2,簡短的,He gave a brief speech.
brilliant,2,光輝的；傑出的,She had a brilliant idea.
broad,2,寬廣的；概括的,The road is broad and clean.
brush,2,刷子；刷,Brush your teeth twice a day.
building,2,建築物,That building is very tall.
bun,2,小圓甜麵包；髮髻,She put her hair in a bun.
burden,2,負擔；加負擔於…,The heavy bag was a burden.
burn,2,燃燒；燒傷,Be careful not to burn the rice.
burst,2,爆發；爆炸,The balloon burst with a loud noise.
cabbage,2,甘藍菜,She cooked cabbage with meat.
cage,2,籠子；監牢,The bird sang in its cage.
calendar,2,日曆；行事曆,I marked the date on my calendar.
calm,2,鎮靜的,Stay calm and think clearly.
camel,2,駱駝,The camel walked across the desert.
cancel,2,取消,They had to cancel the trip.
cancer,2,惡性腫瘤；癌症,He is being treated for cancer.
candle,2,蠟燭,She lit a candle in the dark.
capital,2,主要的；首都；資本,Taipei is the capital of Taiwan.
cartoon,2,卡通；連環漫畫,The children watched a cartoon.
cash,2,現金,I paid in cash.
castle,2,城堡,We visited an old castle.
cause,2,導致；原因,Smoking can cause health problems.
ceiling,2,天花板,The ceiling is white.
cell,2,小囚房；細胞,The body is made of cells.
central,2,中央的；核心的,The hotel is in a central location.
century,2,世紀,We live in the twenty-first century.
cereal,2,玉蜀黍薄片,He eats cereal for breakfast.
chain,2,鏈條；束縛,The dog was tied with a chain.
chalk,2,白堊；粉筆,The teacher used chalk to write.
challenge,2,挑戰,Learning English is a challenge.
channel,2,海峽；溝渠,This TV channel shows news.
chapter,2,章，回,Read the first chapter.
character,2,性格；特質,He has a kind character.
charge,2,索價；控告,The hotel charges too much.
chart,2,圖表,The chart shows the results.
chase,2,追逐,The dog chased the cat.
cheat,2,作弊；欺騙,Do not cheat on the test.
cheer,2,歡呼；激勵,The fans cheered for the team.
chemical,2,化學的,The factory uses chemical materials.
chess,2,西洋棋,He is good at chess.
chief,2,主要的；首領,The chief problem is money.
childhood,2,童年時期,She had a happy childhood.
childish,2,孩子氣的,Stop acting childish.
china,2,瓷器,The cup is made of china.
chopstick(s),2,筷子,He ate rice with chopsticks.
claim,2,要求；聲稱,He claims that he saw a UFO.
classic,2,經典的；名著,This book is a classic.
classical,2,極好的；古典的,She enjoys classical music.
classmate,2,同班同學,My classmate helped me study.
clever,2,伶俐的；機敏的,The clever boy solved the puzzle.
click,2,使發出聲,Click the button to start.
climate,2,氣候；風氣,The climate here is warm.
cloth,2,布料；衣料,She bought cloth to make a dress.
clothing,2,衣服；覆蓋物,Warm clothing is needed in winter.
cloudy,2,多雲的,The sky is cloudy today.
coal,2,煤礦；煤塊,Coal was used to heat the house.
coast,2,海岸；沿海地區,We drove along the coast.
cockroach/roach,2,蟑蚣卜；油蟲,A cockroach ran under the table.
coin,2,硬幣,He found a coin on the floor.
cola/Coke,2,可樂類飲料,She drank a can of cola.
college,2,大學；學院,He plans to go to college.
comb,2,梳子；梳頭,She combed her hair.
combine,2,結合,Combine the flour and water.
