word,level,meaning,sentence
abnormal,5,反常的,His abnormal behavior worried the doctor.
abolish,5,廢除,The government decided to abolish the old law.
abortion,5,墮胎,The debate about abortion divided the country.
abrupt,5,突然的；魯莽的,The car came to an abrupt stop.
absurd,5,荒唐的,The idea sounded absurd to everyone.
accessible,5,易接近的,The library is accessible to all students.
accommodation,5,住所,We found cheap accommodation near the station.
accord,5,符合,His actions accord with his words.
accounting,5,會計學,She is studying accounting at college.
acquisition,5,取得；獲得物,The company announced the acquisition of a rival firm.
acute,5,敏銳的,He felt acute pain in his chest.
administrative,5,行政的,She has an administrative job at the hospital.
administrator,5,行政官員,The administrator approved the new budget.
adolescent,5,青春期的；青少年,Many adolescent students worry about exams.
adverse,5,反對的,The plan had adverse effects on the environment.
advocate,5,提倡者；擁護,She is an advocate for children's rights.
affection,5,愛情,He showed great affection for his grandmother.
agenda,5,議程,The next item on the agenda is funding.
aggression,5,侵略,The dog showed aggression toward strangers.
agony,5,痛苦,He was in agony after the accident.
aisle,5,通道,Please keep the aisle clear.
alcoholic,5,酒精飲料；含酒精的,The drink contains alcoholic ingredients.
alien,5,外國的,The customs seemed alien to me.
allergy,5,過敏性反應,She has a serious allergy to peanuts.
alliance,5,聯盟,The two countries formed an alliance.
allocate,5,撥給,The school will allocate funds to new books.
alongside,5,靠著…旁邊,He worked alongside his brother.
alternate,5,輪流的,We take alternate turns driving.
amend,5,修改,They voted to amend the constitution.
analyst,5,分析家,The analyst predicted strong sales.
anonymous,5,不具名的,The donor wished to remain anonymous.
antique,5,年代久遠的,She collects antique furniture.
applause,5,掌聲,The audience gave loud applause.
appliance,5,器具；裝備,The kitchen appliance broke down.
apt,5,有…傾向的,He is apt to forget names.
architect,5,建築師；設計師,The architect designed a beautiful house.
architecture,5,建築學；建築風格,She studies modern architecture.
arena,5,活動場所(供運動、娛樂的),The concert was held in a large arena.
arouse,5,喚起,The news aroused public anger.
array,5,一長列,The store offers a wide array of goods.
arrogant,5,傲慢的,His arrogant attitude made him unpopular.
articulate,5,清楚的表達,She can articulate her ideas clearly.
ass,5,驢；蠢人,The farmer led the ass to the field.
assault,5,攻擊,He was charged with assault.
asset,5,資產,Good health is a great asset.
astonish(ment),5,使驚訝,The result will astonish everyone.
attic,5,閣樓,We stored old boxes in the attic.
auction,5,拍賣,The painting was sold at auction.
autonomy,5,自治(權),The region wants greater autonomy.
ballot,5,無記名投票,Voters cast their ballot in secret.
ban,5,禁止,The city decided to ban smoking indoors.
behalf,5,為了…的利益；代表,She spoke on behalf of the students.
belongings,5,所有物,Please take your personal belongings.
beloved,5,所愛的人,He is a beloved teacher.
beneficial,5,有益的,Regular exercise is beneficial to health.
beware,5,當心,Beware of dogs at night.
bias,5,成見,The report showed a clear bias.
bid,5,出價；吩咐,He made a bid for the antique vase.
biological,5,生物(學)的,The lab studies biological changes.
bizarre,5,古怪的,She wore a bizarre hat.
blast,5,一陣疾風,The blast broke every window.
blur,5,使模糊,Tears began to blur her vision.
blush,5,臉紅,She began to blush when praised.
bodyguard,5,侍衛,The singer hired a bodyguard.
bolt,5,螺栓；閃電,He tightened the bolt with a tool.
bonus,5,紅利,The workers received a year-end bonus.
boom,5,隆隆聲；景氣,The city is experiencing a building boom.
boost,5,提升,The news gave his confidence a boost.
booth,5,售貨棚,We sat in a quiet booth.
bound,5,很有可能的；準備前往…的,The train is bound for Taipei.
breakthrough,5,突破,Scientists made a major breakthrough.
briefcase,5,公事包,He carried a black briefcase.
browse,5,噹食；瀏覽,I like to browse in bookstores.
bulk,5,大量,The bulk of the work is done.
bully,5,恃強凌弱者,The bully frightened younger students.
bureau,5,局；處；署,She works for a travel bureau.
bureaucracy,5,官僚,Too much bureaucracy slows things down.
butcher,5,肉商,The butcher cut the meat carefully.
canal,5,運河,The canal connects the two rivers.
canvas,5,帆布,The artist painted on canvas.
carbon,5,碳,Plants absorb carbon dioxide.
carnival,5,嘉年華會,The town holds a carnival every summer.
casino,5,賭場,He lost money at the casino.
caution,5,謹慎,Drive with caution in the rain.
cautious,5,小心的,She is cautious about lending money.
celebrity,5,名人(聲),The celebrity avoided the reporters.
cemetery,5,墓地,They visited the cemetery on Sunday.
ceremony,5,典禮；禮儀,The wedding ceremony was simple.
certificate,5,證書,She received a birth certificate.
chaos,5,無秩序狀態,The storm caused chaos in the city.
chef,5,主廚,The chef prepared a delicious meal.
choir,5,合唱隊,She sings in the church choir.
chronic,5,慢性的,He suffers from chronic pain.
chunk,5,厚塊,He ate a chunk of bread.
citizenship,5,公民身分(權利),She applied for citizenship.
clause,5,子句；條款,The contract has a special clause.
cluster,5,群,A cluster of stars appeared.
cocaine,5,古柯鹼,Police found cocaine in the car.
coffin,5,棺材,The coffin was carried into the church.
coincidence,5,巧合,It was a strange coincidence.
collector,5,收藏者,He is a stamp collector.
colonial,5,殖民地的,The building has colonial style.
columnist,5,專欄作家,She works as a newspaper columnist.
comedian,5,丑角式人物,The comedian made everyone laugh.
commentary,5,評述,The book offers political commentary.
